BuildingSyncPath,State,RequiredValues,RequiredPairedElement
Audits.Audit.Sites.Site.Facilities.Facility.OccupancyLevels.OccupancyLevel.OccupantType,Optional,Peak number of people,Audits.Audit.Sites.Site.Facilities.Facility.OccupancyLevels.OccupancyLevel.OccupantQuantity
Audits.Audit.Sites.Site.Facilities.Facility.OccupancyLevels.OccupancyLevel.OccupantQuantityType,,,
Audits.Audit.Sites.Site.Facilities.Facility.OccupancyLevels.OccupancyLevel.OccupantQuantity,Required,,
Audits.Audit.Sites.Site.Facilities.Facility.TypicalOccupantUsages,,,
Audits.Audit.Sites.Site.Facilities.Facility.TypicalOccupantUsages.TypicalOccupantUsage,,,
Audits.Audit.Sites.Site.Facilities.Facility.TypicalOccupantUsages.TypicalOccupantUsage.TypicalOccupantUsageValue,,,
Audits.Audit.Sites.Site.Facilities.Facility.TypicalOccupantUsages.TypicalOccupantUsage.TypicalOccupantUsageUnits,,,
Audits.Audit.Sites.Site.Facilities.Facility.Ownership,,,
Audits.Audit.Sites.Site.Facilities.Facility.OwnershipStatus,,,
Audits.Audit.Sites.Site.Facilities.Facility.PrimaryContactID,,,
Audits.Audit.Sites.Site.Facilities.Facility.TenantID,,,
Audits.Audit.Sites.Site.Facilities.Facility.FloorAreas,Required,,
Audits.Audit.Sites.Site.Facilities.Facility.FloorAreas.FloorArea,Required,,
Audits.Audit.Sites.Site.Facilities.Facility.FloorAreas.FloorArea.FloorAreaType,Required,"Gross,Conditioned,Cooled,Gross,Heated and Cooled,Heated",Audits.Audit.Sites.Site.Facilities.Facility.FloorAreas.FloorArea.FloorAreaValue
Audits.Audit.Sites.Site.Facilities.Facility.FloorAreas.FloorArea.FloorAreaCustomName,,,
Audits.Audit.Sites.Site.Facilities.Facility.FloorAreas.FloorArea.FloorAreaValue,Required,,
Audits.Audit.Sites.Site.Facilities.Facility.FloorAreas.FloorArea.FloorAreaPercentage,,,
Audits.Audit.Sites.Site.Facilities.Facility.FloorAreas.FloorArea.Story,,,
Audits.Audit.Sites.Site.Facilities.Facility.UserDefinedFields,Required,,
Audits.Audit.Sites.Site.Facilities.Facility.UserDefinedFields.UserDefinedField,Required,,
Audits.Audit.Sites.Site.Facilities.Facility.UserDefinedFields.UserDefinedField.FieldName,Optional,"Spaces Excluded from GFA,Above Grade Demising Wall Area",Audits.Audit.Sites.Site.Facilities.Facility.UserDefinedFields.UserDefinedField.FieldValue
