Unnamed: 0,attribute_name,transformed_name,attribute_id,attribute_path,bedes_content_uuid,bedes_term,bedes_category,bedes_definition,bedes_url,distance,match_type,matched_to_term,term_or_lo,matched_term_URL,matched_to_word,matched_word_example_URL,unmatched_words,bedes_term_update,bedes_content_uuid_update
442,DraftBoundary,Draft Boundary,54921,BuildingSync.Facilities.Facility.Systems.HVACSystems.HVACSystem.Plants.HeatingPlants.HeatingPlant.Boiler.DraftBoundary,b2bc8a23-9a79-4a91-9903-4e0a495595b8,Draft Type,,,https://bedes.lbl.gov/node/b2bc8a23-9a79-4a91-9903-4e0a495595b8,1,Term-to-Term Match,,,,,,,Draft Type,b2bc8a23-9a79-4a91-9903-4e0a495595b8
443,CondensingOperation,Condensing Operation,54922,BuildingSync.Facilities.Facility.Systems.HVACSystems.HVACSystem.Plants.HeatingPlants.HeatingPlant.Boiler.CondensingOperation,3835a2ea-4a5a-40c2-a643-01619cf1c496,Condensing Operation,HVAC,Capability of a boiler or furnace of condensing the water vapor in the exhaust flue gas to obtain a higher efficiency.,https://bedes.lbl.gov/node/3835a2ea-4a5a-40c2-a643-01619cf1c496,1,Term-to-Term Match,,,,,,,Condensing Operation,3835a2ea-4a5a-40c2-a643-01619cf1c496
444,HeatingStaging,Heating Staging,54923,BuildingSync.Facilities.Facility.Systems.HVACSystems.HVACSystem.Plants.HeatingPlants.HeatingPlant.Boiler.HeatingStaging,f2e049ee-f34a-40ab-9776-fabcbad9c3f9,Heating Staging,HVAC,"The method of heating staging used by the unit. Select ÒSingle StageÓ for units with single stage (on/off) control. Select ÒMultiple, Discrete StagesÓ for units with multiple discrete stages (low-fire / high-fire). Select ÒModulatingÓ for units which contain modulating burners.",https://bedes.lbl.gov/node/f2e049ee-f34a-40ab-9776-fabcbad9c3f9,1,Term-to-Term Match,,,,,,,Heating Staging,f2e049ee-f34a-40ab-9776-fabcbad9c3f9
445,InputCapacity,Input Capacity,54924,BuildingSync.Facilities.Facility.Systems.HVACSystems.HVACSystem.Plants.HeatingPlants.HeatingPlant.Boiler.InputCapacity,d6f19636-b883-4dfa-8f70-9f55ac5d283f,Input Capacity,HVAC,The energy consumption of the heating plant at full load.,https://bedes.lbl.gov/node/d6f19636-b883-4dfa-8f70-9f55ac5d283f,1,Term-to-Term Match,,,,,,,Input Capacity,d6f19636-b883-4dfa-8f70-9f55ac5d283f
446,CapacityUnits,Capacity Units,54925,BuildingSync.Facilities.Facility.Systems.HVACSystems.HVACSystem.Plants.HeatingPlants.HeatingPlant.Boiler.CapacityUnits,10645e3b-270a-4251-8153-36017540d539,Unit Of Measure,,,https://bedes.lbl.gov/node/10645e3b-270a-4251-8153-36017540d539,1,Term-to-Term Match,,,,,,,Unit Of Measure,10645e3b-270a-4251-8153-36017540d539
447,NumberOfHeatingStages,Number Of Heating Stages,54926,BuildingSync.Facilities.Facility.Systems.HVACSystems.HVACSystem.Plants.HeatingPlants.HeatingPlant.Boiler.NumberOfHeatingStages,f12fcef4-ee6c-4129-80ac-0f6068a62880,Number of Heating Stages,HVAC,"The number of heating stages, excluding ""off.""",https://bedes.lbl.gov/node/f12fcef4-ee6c-4129-80ac-0f6068a62880,1,Term-to-Term Match,,,,,,,Number of Heating Stages,f12fcef4-ee6c-4129-80ac-0f6068a62880
448,HeatingStageCapacityFraction,Heating Stage Capacity Fraction,54927,BuildingSync.Facilities.Facility.Systems.HVACSystems.HVACSystem.Plants.HeatingPlants.HeatingPlant.Boiler.HeatingStageCapacityFraction,f5e46b67-69e7-4df4-9bdc-2a1badd478b0,Heating Stage Capacity Fraction,HVAC,"Average capacity of each heating stage, at ARI rated conditions, expressed as a fraction of total capacity",https://bedes.lbl.gov/node/f5e46b67-69e7-4df4-9bdc-2a1badd478b0,1.0,Term-to-Term Match,,,,,,,,
449,Priority,Priority,54928,BuildingSync.Facilities.Facility.Systems.HVACSystems.HVACSystem.Plants.HeatingPlants.HeatingPlant.Boiler.Priority,40627ae4-b6d5-455f-a7d0-b9a7d3c50e9e,Priority,Global Terms,"Order of priority, for example: configuration of equipment, or priority of contact information.",https://bedes.lbl.gov/node/40627ae4-b6d5-455f-a7d0-b9a7d3c50e9e,1,Term-to-Term Match,,,,,,,Priority,40627ae4-b6d5-455f-a7d0-b9a7d3c50e9e
450,AnnualHeatingEfficiencyValue,Annual Heating Efficiency Value,54929,BuildingSync.Facilities.Facility.Systems.HVACSystems.HVACSystem.Plants.HeatingPlants.HeatingPlant.Boiler.AnnualHeatingEfficiencyValue,60bd6caf-321d-4bc0-8f05-5444fffac4e3,Annual Heating Efficiency Value,,,https://bedes.lbl.gov/node/60bd6caf-321d-4bc0-8f05-5444fffac4e3,1,Term-to-Term Match,,,,,,,Annual Heating Efficiency Value,60bd6caf-321d-4bc0-8f05-5444fffac4e3
451,AnnualHeatingEfficiencyUnits,Annual Heating Efficiency Units,54930,BuildingSync.Facilities.Facility.Systems.HVACSystems.HVACSystem.Plants.HeatingPlants.HeatingPlant.Boiler.AnnualHeatingEfficiencyUnits,5f8474eb-62a5-49b1-98a3-d727660f379e,Annual Heating Efficiency Metric Qualifier,,,https://bedes.lbl.gov/node/5f8474eb-62a5-49b1-98a3-d727660f379e,1,Term-to-Term Match,,,,,,,Annual Heating Efficiency Metric Qualifier,5f8474eb-62a5-49b1-98a3-d727660f379e
