enum_name,enum_id,bedes_content_uuid,bedes_term,bedes_definition,bedes_url,bedes_related_term_uuid,distance,associated_attribute_ids
Other,41233,1bf118dd-9a9e-440c-8e8f-b3a92ab62855,Other,Other,https://bedes.lbl.gov/node/1bf118dd-9a9e-440c-8e8f-b3a92ab62855,1d87e8ff-747e-4a30-8342-e43b96e53bd4,1,50696
Unknown,41234,086ae16f-060f-42e5-aed7-9111b7d859db,Unknown,Unknown,https://bedes.lbl.gov/node/086ae16f-060f-42e5-aed7-9111b7d859db,1d87e8ff-747e-4a30-8342-e43b96e53bd4,1,50696
Side-by-side,41235,11e6a31c-e06f-4631-add3-aea50c89ac1f,Side by side,"The side-by-side door configuration is a cabinet that is divided in half lengthwise. These refrigerators have two doors, which swing out from the middle so one door stays closed while the other door is open and vice versa.",https://bedes.lbl.gov/node/11e6a31c-e06f-4631-add3-aea50c89ac1f,41b37622-afea-4514-950f-1c6e47fd39f9,0.99,50697
Top and bottom,41236,4c7fd50e-6d9d-454c-ade4-070b2ecce045,Top and bottom,The top-and-bottom door configuration is a cabinet that is divided in half widthwise.,https://bedes.lbl.gov/node/4c7fd50e-6d9d-454c-ade4-070b2ecce045,41b37622-afea-4514-950f-1c6e47fd39f9,1,50697
Walk-in,41237,e6dff393-a528-4ec3-832a-bf8eba72b9d4,Walk in,A large refrigeration room that allows walk-in accessibility.,https://bedes.lbl.gov/node/e6dff393-a528-4ec3-832a-bf8eba72b9d4,264126a1-b6b6-4fc1-a1f4-893081516db9,0.99,50697
Other,41238,1bf118dd-9a9e-440c-8e8f-b3a92ab62855,Other,Other,https://bedes.lbl.gov/node/1bf118dd-9a9e-440c-8e8f-b3a92ab62855,1d87e8ff-747e-4a30-8342-e43b96e53bd4,1,50697
Unknown,41239,086ae16f-060f-42e5-aed7-9111b7d859db,Unknown,Unknown,https://bedes.lbl.gov/node/086ae16f-060f-42e5-aed7-9111b7d859db,1d87e8ff-747e-4a30-8342-e43b96e53bd4,1,50697
Horizontal,41240,11a21f0c-f5d9-4f02-86aa-7ea00b6e386e,Horizontal,"Horizontal case doors have sliding doors on the top of a cabinet, often made of glass for display.",https://bedes.lbl.gov/node/11a21f0c-f5d9-4f02-86aa-7ea00b6e386e,89f1930c-e92c-4400-a296-48416a7705c3,1,50699
Vertical,41241,2b1b4095-ce15-4c4a-b6a6-9101d14426b9,Vertical,"Vertical case doors have sliding doors on the side of a cabinet, often made of glass for display.",https://bedes.lbl.gov/node/2b1b4095-ce15-4c4a-b6a6-9101d14426b9,89f1930c-e92c-4400-a296-48416a7705c3,1,50699
Combination,41242,938743a0-e58d-4c65-9851-bfc96133e91e,Combination,"Combination case doors have one or more sliding doors on a certain part of a cabinet, often made of glass for display.",https://bedes.lbl.gov/node/938743a0-e58d-4c65-9851-bfc96133e91e,89f1930c-e92c-4400-a296-48416a7705c3,1,50699
Unknown,41243,086ae16f-060f-42e5-aed7-9111b7d859db,Unknown,Unknown,https://bedes.lbl.gov/node/086ae16f-060f-42e5-aed7-9111b7d859db,1d87e8ff-747e-4a30-8342-e43b96e53bd4,1,50699
