enum_name,enum_id,bedes_content_uuid,bedes_term,bedes_definition,bedes_url,bedes_related_term_uuid,distance
Canyon,10564,080be34d-4093-4d5d-af74-33f63a4bce4a,Canyon,"Commonly used street suffix or abbreviations: Canyn, Cnyn",https://bedes.lbl.gov/node/080be34d-4093-4d5d-af74-33f63a4bce4a,0e5b9f13-6b6b-4a6e-86bb-d4667b62cc4e,1.0
Camp,10563,963b4ace-e8c9-438e-8f6d-59f36cc2b56e,Camp,"Commonly used street suffix or abbreviations: Cp, Cmp",https://bedes.lbl.gov/node/963b4ace-e8c9-438e-8f6d-59f36cc2b56e,0e5b9f13-6b6b-4a6e-86bb-d4667b62cc4e,1.0
Bypass,10562,23d535b6-ca58-4dc3-82a9-44186397643b,Bypass,"Commonly used street suffix or abbreviations: Byp, Bypa, Bypas, Byps",https://bedes.lbl.gov/node/23d535b6-ca58-4dc3-82a9-44186397643b,0e5b9f13-6b6b-4a6e-86bb-d4667b62cc4e,1.0
Burgs,10561,71a2de90-10ee-4b3f-83d0-5aa10a9c9d21,Burgs,Commonly used street suffix or abbreviations: Bgs,https://bedes.lbl.gov/node/71a2de90-10ee-4b3f-83d0-5aa10a9c9d21,0e5b9f13-6b6b-4a6e-86bb-d4667b62cc4e,1.0
Burg,10560,9fa6131d-cb3c-4465-8a4c-c712de513c4a,Burg,Commonly used street suffix or abbreviations: Bg,https://bedes.lbl.gov/node/9fa6131d-cb3c-4465-8a4c-c712de513c4a,0e5b9f13-6b6b-4a6e-86bb-d4667b62cc4e,1.0
Brooks,10559,ced8eb72-ac54-4082-bd50-2fcde1dcc19d,Brooks,Commonly used street suffix or abbreviations: Brks,https://bedes.lbl.gov/node/ced8eb72-ac54-4082-bd50-2fcde1dcc19d,0e5b9f13-6b6b-4a6e-86bb-d4667b62cc4e,1.0
Brook,10558,1e83ef0f-442f-4fc5-b7ab-8bf6ec82aa0c,Brook,Commonly used street suffix or abbreviations: Brk,https://bedes.lbl.gov/node/1e83ef0f-442f-4fc5-b7ab-8bf6ec82aa0c,0e5b9f13-6b6b-4a6e-86bb-d4667b62cc4e,1.0
Bridge,10557,aa8bae82-98f1-4838-ac62-683ac3d7f71c,Bridge,"Commonly used street suffix or abbreviations: Brdge, Brg",https://bedes.lbl.gov/node/aa8bae82-98f1-4838-ac62-683ac3d7f71c,0e5b9f13-6b6b-4a6e-86bb-d4667b62cc4e,1.0
Branch,10556,cf71b9a1-ab6d-4ff2-b298-852033822281,Branch,"Commonly used street suffix or abbreviations: Br, Brnch",https://bedes.lbl.gov/node/cf71b9a1-ab6d-4ff2-b298-852033822281,0e5b9f13-6b6b-4a6e-86bb-d4667b62cc4e,1.0
Boulevard,10555,bde766fa-cdd1-4113-9ee8-30b1bb788de8,Boulevard,"Commonly used street suffix or abbreviations: Blvd, Boul, Boulv",https://bedes.lbl.gov/node/bde766fa-cdd1-4113-9ee8-30b1bb788de8,0e5b9f13-6b6b-4a6e-86bb-d4667b62cc4e,1.0
Bottom,10554,5860955a-4763-408e-b7cc-eeb500a63896,Bottom,"Commonly used street suffix or abbreviations: Bot, Btm, Bottm",https://bedes.lbl.gov/node/5860955a-4763-408e-b7cc-eeb500a63896,0e5b9f13-6b6b-4a6e-86bb-d4667b62cc4e,1.0
Bluffs,10553,f4b77b7b-2ecd-4879-8c22-3e353301a11b,Bluffs,"Commonly used street suffix or abbreviations: Blfs, Blufs",https://bedes.lbl.gov/node/f4b77b7b-2ecd-4879-8c22-3e353301a11b,0e5b9f13-6b6b-4a6e-86bb-d4667b62cc4e,1.0
Bluff,10552,cd795593-5b64-4081-b0c1-4732443798fb,Bluff,"Commonly used street suffix or abbreviations: Blf, Bluf",https://bedes.lbl.gov/node/cd795593-5b64-4081-b0c1-4732443798fb,0e5b9f13-6b6b-4a6e-86bb-d4667b62cc4e,1.0
Bend,10551,a12c8e8d-834d-4eb9-9bd6-d305742a1f0f,Bend,Commonly used street suffix or abbreviations: Bnd,https://bedes.lbl.gov/node/a12c8e8d-834d-4eb9-9bd6-d305742a1f0f,0e5b9f13-6b6b-4a6e-86bb-d4667b62cc4e,1.0
Beach,10550,91f12775-2c13-405f-85e1-dc8378b1a77b,Beach,Commonly used street suffix or abbreviations: Bch,https://bedes.lbl.gov/node/91f12775-2c13-405f-85e1-dc8378b1a77b,0e5b9f13-6b6b-4a6e-86bb-d4667b62cc4e,1.0
Bayou,10549,05c41371-f51b-466a-8279-61d7db6a5e15,Bayou,Commonly used street suffix or abbreviations: Bayoo,https://bedes.lbl.gov/node/05c41371-f51b-466a-8279-61d7db6a5e15,0e5b9f13-6b6b-4a6e-86bb-d4667b62cc4e,1.0
Avenue,10548,67b38e0e-248a-442c-bb9d-f4c320c17f09,Avenue,"Commonly used street suffix or abbreviations: Av, Ave, Aven, Avenu, Avn, Avnue",https://bedes.lbl.gov/node/67b38e0e-248a-442c-bb9d-f4c320c17f09,0e5b9f13-6b6b-4a6e-86bb-d4667b62cc4e,1.0
Arcade,10547,38300982-b3ce-4f71-b223-e7e4f7053d04,Arcade,Commonly used street suffix or abbreviations: Arc,https://bedes.lbl.gov/node/38300982-b3ce-4f71-b223-e7e4f7053d04,0e5b9f13-6b6b-4a6e-86bb-d4667b62cc4e,1.0
Annex,10546,949cbf45-de1c-49f3-bb00-0160ee4ba1ed,Annex,"Commonly used street suffix or abbreviations: Annex, Annx, Anx",https://bedes.lbl.gov/node/949cbf45-de1c-49f3-bb00-0160ee4ba1ed,0e5b9f13-6b6b-4a6e-86bb-d4667b62cc4e,1.0
Alley,10545,670d0a51-0f50-48f3-b9c2-7b1576db3892,Alley,"Commonly used street suffix or abbreviations: Allee, Ally, Aly",https://bedes.lbl.gov/node/670d0a51-0f50-48f3-b9c2-7b1576db3892,0e5b9f13-6b6b-4a6e-86bb-d4667b62cc4e,1.0
Northwest,10544,d7841166-1906-464b-93c8-d17979b61275,Northwest,"Lying toward, or facing the northwest.",https://bedes.lbl.gov/node/d7841166-1906-464b-93c8-d17979b61275,de8671ad-4714-417d-9554-61b2e2561772,1.0
West,10543,adbc46db-dd2b-418e-8456-fe6f433f31d5,West,"Lying toward, or facing the west.",https://bedes.lbl.gov/node/adbc46db-dd2b-418e-8456-fe6f433f31d5,de8671ad-4714-417d-9554-61b2e2561772,1.0
Southwest,10542,26e15218-88e2-4573-aa0a-8bdb9a73b53b,Southwest,"Lying toward, or facing the southwest.",https://bedes.lbl.gov/node/26e15218-88e2-4573-aa0a-8bdb9a73b53b,de8671ad-4714-417d-9554-61b2e2561772,1.0
South,10541,32f17c2d-a396-49fe-9212-9efbd1ab6fbc,South,"Lying toward, or facing the south.",https://bedes.lbl.gov/node/32f17c2d-a396-49fe-9212-9efbd1ab6fbc,de8671ad-4714-417d-9554-61b2e2561772,1.0
Southeast,10540,3f0dd4b4-aeff-48b6-94f4-5c274f7da49f,Southeast,"Lying toward, or facing the southeast.",https://bedes.lbl.gov/node/3f0dd4b4-aeff-48b6-94f4-5c274f7da49f,de8671ad-4714-417d-9554-61b2e2561772,1.0
East,10539,2c8c0990-f06b-46a9-8483-73f4167fc21d,East,"Lying toward, or facing the east.",https://bedes.lbl.gov/node/2c8c0990-f06b-46a9-8483-73f4167fc21d,de8671ad-4714-417d-9554-61b2e2561772,1.0
Northeast,10538,b09b0771-eeb0-4878-a910-43100ffd6365,Northeast,"Lying toward, or facing the northeast.",https://bedes.lbl.gov/node/b09b0771-eeb0-4878-a910-43100ffd6365,de8671ad-4714-417d-9554-61b2e2561772,1.0
North,10537,cd3efe64-7475-4f58-b79a-eb2ee8f9083d,North,"Lying toward, or facing the north.",https://bedes.lbl.gov/node/cd3efe64-7475-4f58-b79a-eb2ee8f9083d,de8671ad-4714-417d-9554-61b2e2561772,1.0
Very cold,10536,d79f488d-5140-4807-973b-fc20653a6d53,Very cold,Building America or DOE zone.,https://bedes.lbl.gov/node/d79f488d-5140-4807-973b-fc20653a6d53,af2178d7-3ed1-456d-af87-3decc69dd233,1.0
Cold,10535,ca84d0e1-cb59-45ce-b407-d6a9d0793788,Cold,Building America or DOE zone.,https://bedes.lbl.gov/node/ca84d0e1-cb59-45ce-b407-d6a9d0793788,af2178d7-3ed1-456d-af87-3decc69dd233,1.0
Mixed-humid,10534,d6cd8a8e-1713-4f7c-a169-aa63b9fb3661,Mixed humid,Building America or DOE zone.,https://bedes.lbl.gov/node/d6cd8a8e-1713-4f7c-a169-aa63b9fb3661,af2178d7-3ed1-456d-af87-3decc69dd233,0.9636363636363636
Hot-humid,10533,,,,,,
Mixed-dry,10532,14f195cb-f6c6-4869-9f5b-a3f9b3a2230c,Mixed dry,Building America or DOE zone.,https://bedes.lbl.gov/node/14f195cb-f6c6-4869-9f5b-a3f9b3a2230c,af2178d7-3ed1-456d-af87-3decc69dd233,0.9555555555555556
Hot-dry,10531,,,,,,
Marine,10530,db379977-c3b0-4e75-a499-f54461ae4512,Marine,Building America or DOE zone.,https://bedes.lbl.gov/node/db379977-c3b0-4e75-a499-f54461ae4512,af2178d7-3ed1-456d-af87-3decc69dd233,1.0
Subarctic,10529,25237be0-aa42-4b74-a9a0-f90486f0ff5f,Subarctic,Building America or DOE zone.,https://bedes.lbl.gov/node/25237be0-aa42-4b74-a9a0-f90486f0ff5f,af2178d7-3ed1-456d-af87-3decc69dd233,1.0
5,10528,a989a284-d242-41db-92b2-f2e166cd8a75,5,California Title 24 representative city of Santa Marina. IECC Zone. CBECS zone.,https://bedes.lbl.gov/node/a989a284-d242-41db-92b2-f2e166cd8a75,af2178d7-3ed1-456d-af87-3decc69dd233,1.0
4,10527,49ed1dd1-c8ff-4fbe-816d-07359feb5075,4,California Title 24 representative city of Sunnyvale. CBECS zone.,https://bedes.lbl.gov/node/49ed1dd1-c8ff-4fbe-816d-07359feb5075,af2178d7-3ed1-456d-af87-3decc69dd233,1.0
3,10526,5fadc1df-d7d9-4328-ba24-93306ba9f82a,3,California Title 24 representative city of Oakland. IECC Zone. CBECS zone.,https://bedes.lbl.gov/node/5fadc1df-d7d9-4328-ba24-93306ba9f82a,af2178d7-3ed1-456d-af87-3decc69dd233,1.0
2,10525,c93c15d4-97ee-4f03-bf51-f988e3a760c7,2,California Title 24 representative city of Santa Rosa. IECC Zone. CBECS zone.,https://bedes.lbl.gov/node/c93c15d4-97ee-4f03-bf51-f988e3a760c7,af2178d7-3ed1-456d-af87-3decc69dd233,1.0
1,10524,3d986910-fcb2-405b-ae98-a7575cb931f0,1,California Title 24 representative city of Arcata. IECC Zone. CBECS zone.,https://bedes.lbl.gov/node/3d986910-fcb2-405b-ae98-a7575cb931f0,af2178d7-3ed1-456d-af87-3decc69dd233,1.0
Very cold,10523,d79f488d-5140-4807-973b-fc20653a6d53,Very cold,Building America or DOE zone.,https://bedes.lbl.gov/node/d79f488d-5140-4807-973b-fc20653a6d53,af2178d7-3ed1-456d-af87-3decc69dd233,1.0
Cold,10522,ca84d0e1-cb59-45ce-b407-d6a9d0793788,Cold,Building America or DOE zone.,https://bedes.lbl.gov/node/ca84d0e1-cb59-45ce-b407-d6a9d0793788,af2178d7-3ed1-456d-af87-3decc69dd233,1.0
Mixed-humid,10521,d6cd8a8e-1713-4f7c-a169-aa63b9fb3661,Mixed humid,Building America or DOE zone.,https://bedes.lbl.gov/node/d6cd8a8e-1713-4f7c-a169-aa63b9fb3661,af2178d7-3ed1-456d-af87-3decc69dd233,0.9636363636363636
Hot-humid,10520,,,,,,
