enum_name,enum_id,bedes_content_uuid,bedes_term,bedes_definition,bedes_url,bedes_related_term_uuid,distance
FRCC,80,7cf756d3-e43e-4d5c-b035-6a7453611851,FRCC,FRCC All / Eastern Power Grid,https://bedes.lbl.gov/node/7cf756d3-e43e-4d5c-b035-6a7453611851,1c03bd87-9df9-42e9-abf6-f16e2e3b3092,1.0
HIMS,81,9ce4b5b7-5e61-4292-bbd4-cae1ed51e220,HIMS,HICC Miscellaneous / Hawaii Power Grid,https://bedes.lbl.gov/node/9ce4b5b7-5e61-4292-bbd4-cae1ed51e220,1c03bd87-9df9-42e9-abf6-f16e2e3b3092,1.0
HIOA,82,ceac284b-6629-4acf-bcbb-381b1185052f,HIOA,HICC Oahu / Hawaii Power Grid,https://bedes.lbl.gov/node/ceac284b-6629-4acf-bcbb-381b1185052f,1c03bd87-9df9-42e9-abf6-f16e2e3b3092,1.0
MORE,83,a1d50681-5cda-44b3-9c9b-5121d2a5a2b3,MORE,MRO East / Eastern Power Grid,https://bedes.lbl.gov/node/a1d50681-5cda-44b3-9c9b-5121d2a5a2b3,1c03bd87-9df9-42e9-abf6-f16e2e3b3092,1.0
MROW,84,a7864428-0979-46ff-8e62-1383d3113f44,MROW,MRO West / Eastern Power Grid,https://bedes.lbl.gov/node/a7864428-0979-46ff-8e62-1383d3113f44,1c03bd87-9df9-42e9-abf6-f16e2e3b3092,1.0
NEWE,85,2f8c6a90-c0cf-4489-ac7a-9476ce13ddae,NEWE,NPCC New England / Eastern Power Grid,https://bedes.lbl.gov/node/2f8c6a90-c0cf-4489-ac7a-9476ce13ddae,1c03bd87-9df9-42e9-abf6-f16e2e3b3092,1.0
NWPP,86,b701bb54-2c4d-4dcf-b697-b35e482da499,NWPP,WECC Northwest / Western Power Grid,https://bedes.lbl.gov/node/b701bb54-2c4d-4dcf-b697-b35e482da499,1c03bd87-9df9-42e9-abf6-f16e2e3b3092,1.0
NYCW,87,e50e17b5-43a9-4d39-956d-2fa40c2a3955,NYCW,NPCC NYC / Westchester / Eastern Power Grid,https://bedes.lbl.gov/node/e50e17b5-43a9-4d39-956d-2fa40c2a3955,1c03bd87-9df9-42e9-abf6-f16e2e3b3092,1.0
NYLI,88,48cc3c31-33d7-4451-91a9-98b59517163b,NYLI,NPCC Long Island / Eastern Power Grid,https://bedes.lbl.gov/node/48cc3c31-33d7-4451-91a9-98b59517163b,1c03bd87-9df9-42e9-abf6-f16e2e3b3092,1.0
NYUP,89,b18fc9b4-ee20-459b-aa90-a8b2ff31a4c0,NYUP,NPCC Upstate NY / Eastern Power Grid,https://bedes.lbl.gov/node/b18fc9b4-ee20-459b-aa90-a8b2ff31a4c0,1c03bd87-9df9-42e9-abf6-f16e2e3b3092,1.0
RFCE,90,538ed035-98e3-4e65-b6d5-b90ff7f68c4f,RFCE,RFC East / Eastern Power Grid,https://bedes.lbl.gov/node/538ed035-98e3-4e65-b6d5-b90ff7f68c4f,1c03bd87-9df9-42e9-abf6-f16e2e3b3092,1.0
RFCM,91,0065eb49-1702-4b6b-ad07-54e2dbd7e46f,RFCM,RFC Michigan / Eastern Power Grid,https://bedes.lbl.gov/node/0065eb49-1702-4b6b-ad07-54e2dbd7e46f,1c03bd87-9df9-42e9-abf6-f16e2e3b3092,1.0
RFCW,92,41bf1733-9e69-46ab-b6cf-a8e2d0fcb5da,RFCW,RFC West / Eastern Power Grid,https://bedes.lbl.gov/node/41bf1733-9e69-46ab-b6cf-a8e2d0fcb5da,1c03bd87-9df9-42e9-abf6-f16e2e3b3092,1.0
RMPA,93,108ee680-7194-4602-b9fb-575b0f7941c6,RMPA,WECC Rockies / Western Power Grid,https://bedes.lbl.gov/node/108ee680-7194-4602-b9fb-575b0f7941c6,1c03bd87-9df9-42e9-abf6-f16e2e3b3092,1.0
SPNO,94,c724734b-bf6f-4eeb-966e-f78960565818,SPNO,SPP North / Eastern Power Grid,https://bedes.lbl.gov/node/c724734b-bf6f-4eeb-966e-f78960565818,1c03bd87-9df9-42e9-abf6-f16e2e3b3092,1.0
SPSO,95,1f56ce6c-72a4-4ca1-b28d-b56c8d7d1419,SPSO,SPP South / Eastern Power Grid,https://bedes.lbl.gov/node/1f56ce6c-72a4-4ca1-b28d-b56c8d7d1419,1c03bd87-9df9-42e9-abf6-f16e2e3b3092,1.0
SRMV,96,5bb22d51-3c15-4f65-a26a-875f1cd5621c,SRMV,SERC Mississippi Valley / Eastern Power Grid,https://bedes.lbl.gov/node/5bb22d51-3c15-4f65-a26a-875f1cd5621c,1c03bd87-9df9-42e9-abf6-f16e2e3b3092,1.0
SRMW,97,bc5730e4-e759-47d8-8f40-59a317adb717,SRMW,SERC Midwest / Eastern Power Grid,https://bedes.lbl.gov/node/bc5730e4-e759-47d8-8f40-59a317adb717,1c03bd87-9df9-42e9-abf6-f16e2e3b3092,1.0
SRSO,98,eb86dc27-88f6-4096-93a5-a8760adb4a9e,SRSO,SERC South / Eastern Power Grid,https://bedes.lbl.gov/node/eb86dc27-88f6-4096-93a5-a8760adb4a9e,1c03bd87-9df9-42e9-abf6-f16e2e3b3092,1.0
SRTV,99,fbf22259-1b81-405f-bacd-b0367e814cfc,SRTV,SERC Tennessee Valley / Eastern Power Grid,https://bedes.lbl.gov/node/fbf22259-1b81-405f-bacd-b0367e814cfc,1c03bd87-9df9-42e9-abf6-f16e2e3b3092,1.0
SRVC,100,7ef36f87-e5bc-4fa4-91a9-3ec384276e25,SRVC,SWERC Virginia / Carolina / Eastern Power Grid,https://bedes.lbl.gov/node/7ef36f87-e5bc-4fa4-91a9-3ec384276e25,1c03bd87-9df9-42e9-abf6-f16e2e3b3092,1.0
Other,101,,,,,,
FAA,102,0670e591-076c-4bf2-96d9-5e4beccdb419,FAA,Federal Aviation Administration,https://bedes.lbl.gov/node/0670e591-076c-4bf2-96d9-5e4beccdb419,93778e60-f5c0-450e-bfee-f0ff60085678,1.0
ICAO,103,a9885c5c-8f97-4ace-b307-c49363ebc110,ICAO,International Civil Aviation Organization,https://bedes.lbl.gov/node/a9885c5c-8f97-4ace-b307-c49363ebc110,93778e60-f5c0-450e-bfee-f0ff60085678,1.0
NWS,104,f9931aa5-d46f-48f7-a2ef-14cb1afdcdb7,NWS,National Weather Service,https://bedes.lbl.gov/node/f9931aa5-d46f-48f7-a2ef-14cb1afdcdb7,93778e60-f5c0-450e-bfee-f0ff60085678,1.0
WBAN,105,07aded54-0c40-45ed-a1b9-2923a19a3c85,WBAN,Weather Bureau Army Navy,https://bedes.lbl.gov/node/07aded54-0c40-45ed-a1b9-2923a19a3c85,93778e60-f5c0-450e-bfee-f0ff60085678,1.0
WMO,106,70b04fc9-162a-4c8b-85d4-60580816e94c,WMO,World Meteorological Organization,https://bedes.lbl.gov/node/70b04fc9-162a-4c8b-85d4-60580816e94c,93778e60-f5c0-450e-bfee-f0ff60085678,1.0
Other,107,,,,,,
Commercial,108,6ba960ff-085b-4ef0-ac87-9bc1e9e2de25,Commercial,"Commercial designs are meant to accommodate the making of a profit, either directly or indirectly, by the premises.",https://bedes.lbl.gov/node/6ba960ff-085b-4ef0-ac87-9bc1e9e2de25,86208e3e-352a-451d-b2c5-da725ca87693,1.0
Residential,109,e689eee2-3fbf-4c85-9082-54b8f1575c68,Residential,Residential designs are meant to accommodate the needs of people residing on the premises.,https://bedes.lbl.gov/node/e689eee2-3fbf-4c85-9082-54b8f1575c68,86208e3e-352a-451d-b2c5-da725ca87693,1.0
Mixed use commercial,110,622b9f3b-1315-4700-9c04-8d89e71b6f8a,Mixed use commercial,"A commercial premises includes non-manufacturing business establishments including hotels, restaurants, wholesale businesses, retail stores, warehouses, storage facilities, and health, social and educational institutions.",https://bedes.lbl.gov/node/622b9f3b-1315-4700-9c04-8d89e71b6f8a,c96589bd-0dfc-47a4-b040-11dba49d2ebd,1.0
Other,111,,,,,,
Lots,112,,,,,,
Parking spaces,113,27f11703-35c2-4661-92c7-6d854a671a19,Parking space,Designated parking spaces drawn on parking premises.,https://bedes.lbl.gov/node/27f11703-35c2-4661-92c7-6d854a671a19,d10f0c0b-7993-400e-bfe3-c0fb9a4ab2ad,0.9857142857142858
