attribute_name,attribute_id,attribute_path,bedes_content_uuid,bedes_term,bedes_category,bedes_definition,bedes_url,distance,term_or_lo,matched_to_term,matched_term_URL,matched_to_word,matched_word_example_URL,unmatched_words
PortfolioManager,47,BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.PortfolioManager,24de1cc4-cdf6-4b12-9d50-bc0914ff903a,Portfolio Manager,,"An online tool used to measure and track energy and water consumption, as well as greenhouse gas emissions; and to benchmark the performance of one building or a portfolio of buildings",https://bedes.lbl.gov/node/24de1cc4-cdf6-4b12-9d50-bc0914ff903a,0.9882352941176471,List-Option,,,,,
PMBenchmarkDate,48,BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.PortfolioManager.PMBenchmarkDate,,,,,,,Term,Date,https://bedes.lbl.gov/node/b2a9970d-75bc-4e60-a295-a1f33e2d5dae,Benchmark,https://bedes.lbl.gov/node/cdc30487-ab99-47fc-8261-542485d5f7fc,PM
BuildingProfileStatus,49,BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.PortfolioManager.BuildingProfileStatus,,,,,,,"List-Option, List-Option","Building, Status","https://bedes.lbl.gov/node/6207b4d5-694c-430a-a5c9-f375ba2eebc7, https://bedes.lbl.gov/node/e13c66ad-c3fb-4b0d-bb1d-c87343db434f",,,Profile
FederalSustainabilityChecklistCompletionPercentage,50,BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.PortfolioManager.FederalSustainabilityChecklistCompletionPercentage,83a7940f-046b-4b7a-b4f4-382e156c0d9e,Federal Sustainability Checklist Completion Percentage,Premises,Percentage of the Federal High Performance sustainability Checklist that has been completed for federal building in Portfolio Manager.,https://bedes.lbl.gov/node/83a7940f-046b-4b7a-b4f4-382e156c0d9e,0.9851851851851852,Term,,,,,
NumberOfBusinesses,51,BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.NumberOfBusinesses,,,,,,,,,,"Number, Of","https://bedes.lbl.gov/node/a2330c7a-2740-43c2-8296-5a02c610bd64, https://bedes.lbl.gov/node/3d8f4d75-8578-46ef-8d4c-e94b00be54fa",Businesses
FloorsAboveGrade,52,BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.FloorsAboveGrade,,,,,,,"List-Option, List-Option","Floors, Above","https://bedes.lbl.gov/node/ad1928cc-d319-4ac5-8a48-d626afeb8e56, https://bedes.lbl.gov/node/c6c79a11-aae1-4643-a7f9-ce2d0b6313aa",Grade,https://bedes.lbl.gov/node/327e74b4-4434-4e8c-8499-2d0c0c17b8b0,
FloorsBelowGrade,53,BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.FloorsBelowGrade,,,,,,,"List-Option, List-Option","Floors, Below","https://bedes.lbl.gov/node/ad1928cc-d319-4ac5-8a48-d626afeb8e56, https://bedes.lbl.gov/node/046ce363-bdd2-4e8b-a6ca-d5c02ba50a71",Grade,https://bedes.lbl.gov/node/327e74b4-4434-4e8c-8499-2d0c0c17b8b0,
ConditionedFloorsAboveGrade,54,BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.ConditionedFloorsAboveGrade,,,,,,,"List-Option, List-Option, List-Option","Conditioned, Floors, Above","https://bedes.lbl.gov/node/925008ac-90f0-4fc5-9627-d44dc8e91246, https://bedes.lbl.gov/node/ad1928cc-d319-4ac5-8a48-d626afeb8e56, https://bedes.lbl.gov/node/c6c79a11-aae1-4643-a7f9-ce2d0b6313aa",Grade,https://bedes.lbl.gov/node/327e74b4-4434-4e8c-8499-2d0c0c17b8b0,
ConditionedFloorsBelowGrade,55,BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.ConditionedFloorsBelowGrade,,,,,,,"List-Option, List-Option, List-Option","Conditioned, Floors, Below","https://bedes.lbl.gov/node/925008ac-90f0-4fc5-9627-d44dc8e91246, https://bedes.lbl.gov/node/ad1928cc-d319-4ac5-8a48-d626afeb8e56, https://bedes.lbl.gov/node/046ce363-bdd2-4e8b-a6ca-d5c02ba50a71",Grade,https://bedes.lbl.gov/node/327e74b4-4434-4e8c-8499-2d0c0c17b8b0,
UnconditionedFloorsAboveGrade,56,BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.UnconditionedFloorsAboveGrade,,,,,,,"List-Option, List-Option, List-Option","Unconditioned, Floors, Above","https://bedes.lbl.gov/node/9de91345-4f35-4334-ba1b-4b954e6d197c, https://bedes.lbl.gov/node/ad1928cc-d319-4ac5-8a48-d626afeb8e56, https://bedes.lbl.gov/node/c6c79a11-aae1-4643-a7f9-ce2d0b6313aa",Grade,https://bedes.lbl.gov/node/327e74b4-4434-4e8c-8499-2d0c0c17b8b0,
