BuildingSyncPath,State,RequiredValues,RequiredPairedElement,GroupID,GroupingLevel
BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.Subsections.Subsection.ThermalZones.ThermalZone.Spaces.Space.FloorAreas.FloorArea.FloorAreaValue,,,,,
BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.Subsections.Subsection.ThermalZones.ThermalZone.Spaces.Space.FloorAreas.FloorArea.FloorAreaPercentage,,,,,
BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.Subsections.Subsection.ThermalZones.ThermalZone.Spaces.Space.FloorAreas.FloorArea.Story,,,,,
BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.Subsections.Subsection.ThermalZones.ThermalZone.Spaces.Space.UserDefinedFields,,,,,
BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.Subsections.Subsection.ThermalZones.ThermalZone.Spaces.Space.UserDefinedFields.UserDefinedField,,,,,
BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.Subsections.Subsection.ThermalZones.ThermalZone.Spaces.Space.UserDefinedFields.UserDefinedField.FieldName,,,,,
BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.Subsections.Subsection.ThermalZones.ThermalZone.Spaces.Space.UserDefinedFields.UserDefinedField.FieldValue,,,,,
BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.Subsections.Subsection.ThermalZones.ThermalZone.PremisesName,,,,,
BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.Subsections.Subsection.ThermalZones.ThermalZone.UserDefinedFields,,,,,
BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.Subsections.Subsection.ThermalZones.ThermalZone.UserDefinedFields.UserDefinedField,,,,,
BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.Subsections.Subsection.ThermalZones.ThermalZone.UserDefinedFields.UserDefinedField.FieldName,,,,,
BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.Subsections.Subsection.ThermalZones.ThermalZone.UserDefinedFields.UserDefinedField.FieldValue,,,,,
BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.Subsections.Subsection.PremisesName,,,,,
BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.Subsections.Subsection.PremisesNotes,,,,,
BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.Subsections.Subsection.PremisesIdentifiers,,,,,
BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.Subsections.Subsection.PremisesIdentifiers.PremisesIdentifier,,,,,
BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.Subsections.Subsection.PremisesIdentifiers.PremisesIdentifier.IdentifierLabel,,,,,
BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.Subsections.Subsection.PremisesIdentifiers.PremisesIdentifier.IdentifierCustomName,,,,,
BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.Subsections.Subsection.PremisesIdentifiers.PremisesIdentifier.IdentifierValue,,,,,
BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.Subsections.Subsection.OccupancyClassification,Required,,,,
BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.Subsections.Subsection.OccupancyLevels,,,,,
BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.Subsections.Subsection.OccupancyLevels.OccupancyLevel,,,,,
BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.Subsections.Subsection.OccupancyLevels.OccupancyLevel.OccupantType,,,,,
BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.Subsections.Subsection.OccupancyLevels.OccupancyLevel.OccupantQuantityType,,,,,
BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.Subsections.Subsection.OccupancyLevels.OccupancyLevel.OccupantQuantity,,,,,
BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.Subsections.Subsection.TypicalOccupantUsages,Required,,,,
BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.Subsections.Subsection.TypicalOccupantUsages.TypicalOccupantUsage,Required,,,,
BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.Subsections.Subsection.TypicalOccupantUsages.TypicalOccupantUsage.TypicalOccupantUsageValue,Required,,,,
BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.Subsections.Subsection.TypicalOccupantUsages.TypicalOccupantUsage.TypicalOccupantUsageUnits,Required,,,,
BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.Subsections.Subsection.PrimaryContactID,,,,,
BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.Subsections.Subsection.TenantIDs,,,,,
BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.Subsections.Subsection.TenantIDs.TenantID,,,,,
BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.Subsections.Subsection.FloorAreas,Required,,,,
BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.Subsections.Subsection.FloorAreas.FloorArea,Required,,,,
BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.Subsections.Subsection.FloorAreas.FloorArea.FloorAreaType,Required,,,,
